579	5.99	16.04	  D	    WHITTIER_A-DWN180.AT1	    WHITTIER_A-DWN270.AT2
609	5.99	20.68	  D	    WHITTIER_A-OR2010.AT1	    WHITTIER_A-OR2280.AT2
615	5.99	22.68	  D	    WHITTIER_A-DEL000.AT1	    WHITTIER_A-DEL090.AT2
630	5.99	14.98	  D	    WHITTIER_A-NOR360.AT2	    WHITTIER_A-NOR360.AT2
652	5.99	4.77	  C	    WHITTIER_A-GRN180.AT1	    WHITTIER_A-GRN270.AT2
682	6.54	19.51	  D	     SUPERST_B-WSM180.AT2	     SUPERST_B-WSM180.AT2
704	6.93	98.41	  C	         LOMAP_BRK090.AT2	         LOMAP_BRK090.AT2
705	6.93	46.26	  C	         LOMAP_CLR180.AT2	         LOMAP_CLR180.AT2
707	6.93	7.17	  C	         LOMAP_CLS090.AT2	         LOMAP_CLS090.AT2
709	6.93	30.78	  C	         LOMAP_CYC195.AT1	         LOMAP_CYC285.AT2
718	6.93	28.11	  D	         LOMAP_GOF160.AT1	         LOMAP_GOF250.AT2
721	6.93	31.40	  D	         LOMAP_G03090.AT2	         LOMAP_G03090.AT2
727	6.93	72.29	  C	         LOMAP_HWB220.AT1	         LOMAP_HWB310.AT2
732	6.93	45.10	  D	         LOMAP_HDA255.AT2	         LOMAP_HDA255.AT2
734	6.93	114.87	  E	         LOMAP_LKS270.AT1	         LOMAP_LKS360.AT2
737	6.93	94.00	  D	        LOMAP_CH12000.AT1	        LOMAP_CH10270.AT2
738	6.93	91.68	  D	         LOMAP_TIB290.AT2	         LOMAP_TIB290.AT2
741	6.93	51.20	  C	         LOMAP_SLC270.AT1	         LOMAP_SLC360.AT2
744	6.93	107.45	  D	         LOMAP_RCH190.AT1	         LOMAP_RCH280.AT2
753	6.93	79.13	  D	         LOMAP_SFO000.AT1	         LOMAP_SFO090.AT2
773	6.69	8.97	  D	       ERZIKAN_ERZ-EW.AT2	       ERZIKAN_ERZ-EW.AT2
780	7.01	22.64	  D	      CAPEMEND_RIO270.AT1	      CAPEMEND_RIO360.AT2
801	7.28	27.33	  D	       LANDERS_DSP000.AT1	       LANDERS_DSP090.AT2
815	7.28	13.67	  C	       LANDERS_JOS090.AT2	       LANDERS_JOS090.AT2
832	7.28	21.29	  D	       LANDERS_MVH000.AT1	       LANDERS_MVH090.AT2
853	6.46	40.46	  D	       BIGBEAR_DHP090.AT2	       BIGBEAR_DHP090.AT2
899	6.69	11.10	  D	        NORTHR_ARL090.AT1	        NORTHR_ARL360.AT2
903	6.69	13.39	  D	        NORTHR_MUL009.AT1	        NORTHR_MUL279.AT2
909	6.69	4.85	  D	        NORTHR_CNP196.AT2	        NORTHR_CNP196.AT2
910	6.69	26.49	  D	        NORTHR_LOS270.AT2	        NORTHR_LOS270.AT2
927	6.69	21.78	  D	        NORTHR_WIL180.AT2	        NORTHR_WIL180.AT2
937	6.69	20.22	  D	        NORTHR_CCN360.AT2	        NORTHR_CCN360.AT2
938	6.69	14.92	  C	        NORTHR_CHL160.AT2	        NORTHR_CHL160.AT2
962	6.69	11.79	  C	        NORTHR_LDM334.AT2	        NORTHR_LDM334.AT2
980	6.69	52.44	  C	        NORTHR_LV5000.AT1	        NORTHR_LV5090.AT2
988	6.69	31.45	  C	        NORTHR_MRP090.AT1	        NORTHR_MRP180.AT2
991	6.69	13.12	  C	        NORTHR_CWC270.AT2	        NORTHR_CWC270.AT2
1000	6.69	19.28	  C	        NORTHR_PKC090.AT1	        NORTHR_PKC360.AT2
1030	6.69	12.35	  D	        NORTHR_RO3090.AT2	        NORTHR_RO3090.AT2
1031	6.69	24.13	  C	        NORTHR_GLE260.AT2	        NORTHR_GLE260.AT2
1033	6.69	13.60	  C	        NORTHR_SCE288.AT2	        NORTHR_SCE288.AT2
1048	6.90	46.73	  D	          KOBE_ABN000.AT1	          KOBE_ABN090.AT2
1064	6.90	45.97	  D	          KOBE_SHI090.AT2	          KOBE_SHI090.AT2
1094	7.51	99.69	  D	       KOCAELI_ATK090.AT2	       KOCAELI_ATK090.AT2
1103	7.51	98.22	  D	       KOCAELI_DZC270.AT2	       KOCAELI_DZC270.AT2
1110	7.51	5.31	  B	       KOCAELI_IZT180.AT1	       KOCAELI_IZT090.AT2
1146	7.62	43.90	  C	      CHICHI_CHY035-N.AT2	      CHICHI_CHY035-N.AT2
1226	7.62	69.11	  C	      CHICHI_HWA033-N.AT2	      CHICHI_HWA033-N.AT2
1423	7.62	73.11	  D	      CHICHI_TCU038-N.AT2	      CHICHI_TCU038-N.AT2
1429	7.62	86.39	  C	      CHICHI_TCU047-E.AT1	      CHICHI_TCU047-N.AT2
1430	7.62	43.31	  C	      CHICHI_TCU048-N.AT2	      CHICHI_TCU048-N.AT2
1431	7.62	38.91	  C	      CHICHI_TCU049-N.AT2	      CHICHI_TCU049-N.AT2
1437	7.62	35.86	  D	      CHICHI_TCU055-N.AT2	      CHICHI_TCU055-N.AT2
1446	7.62	28.70	  C	      CHICHI_TCU067-N.AT2	      CHICHI_TCU067-N.AT2
1448	7.62	47.86	  C	      CHICHI_TCU070-E.AT1	      CHICHI_TCU070-N.AT2
1450	7.62	21.42	  C	      CHICHI_TCU072-N.AT2	      CHICHI_TCU072-N.AT2
1451	7.62	19.08	  C	      CHICHI_TCU074-N.AT2	      CHICHI_TCU074-N.AT2
1453	7.62	16.03	  C	      CHICHI_TCU076-N.AT2	      CHICHI_TCU076-N.AT2
1488	7.62	21.80	  C	      CHICHI_TCU122-N.AT2	      CHICHI_TCU122-N.AT2
1685	6.10	19.11	  D	    NWCHINA3_J411N270.AT2	    NWCHINA3_J411N270.AT2
1718	7.13	26.53	  C	        HECTOR_HEC090.AT2	        HECTOR_HEC090.AT2
1725	7.13	52.29	  C	      HECTOR_22170360.AT2	      HECTOR_22170360.AT2
2663	6.20	10.10	  C	    CHICHI04_CHY074-E.AT2	    CHICHI04_CHY074-E.AT2
3402	6.30	17.94	  C	    CHICHI06_TCU078-E.AT2	    CHICHI06_TCU078-E.AT2
14	7.36	88.39	  C	          KERN_SBA132.AT2	          KERN_SBA132.AT2
20	6.50	30.79	  D	      NCALIF_H-FRN314.AT2	      NCALIF_H-FRN314.AT2
35	6.63	70.75	  D	     BORREGO_A-ELC180.AT1	     BORREGO_A-ELC270.AT2
153	6.53	43.15	  D	     IMPVALL_H-BRA225.AT1	     IMPVALL_H-BRA315.AT2
161	6.53	29.07	  D	     IMPVALL_H-ECC092.AT2	     IMPVALL_H-ECC092.AT2
162	6.53	19.44	  D	     IMPVALL_H-EMO000.AT1	     IMPVALL_H-EMO270.AT2
164	6.53	26.31	  D	     IMPVALL_H-E10320.AT2	     IMPVALL_H-E10320.AT2
169	6.53	27.13	  D	     IMPVALL_H-E04230.AT2	     IMPVALL_H-E04230.AT2
170	6.53	27.80	  D	     IMPVALL_H-E05230.AT2	     IMPVALL_H-E05230.AT2
171	6.53	27.47	  D	     IMPVALL_H-E06230.AT2	     IMPVALL_H-E06230.AT2
172	6.53	27.64	  D	     IMPVALL_H-E07230.AT2	     IMPVALL_H-E07230.AT2
204	5.80	17.13	  D	    LIVERMOR_A-KOD180.AT1	    LIVERMOR_A-KOD270.AT2
320	6.36	52.86	  D	    COALINGA_H-COW000.AT1	    COALINGA_H-COW090.AT2
321	6.36	41.42	  C	    COALINGA_H-Z10090.AT2	    COALINGA_H-Z10090.AT2
324	6.36	38.54	  D	    COALINGA_H-Z14000.AT1	    COALINGA_H-Z14090.AT2
